"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"g__Mucispirillum",0.0138434299209123,0,7.10820292509814,0,0
"g__Desulfovibrio_R_446353",1.90928810772612,0,1.21775458548466,0,51.4698245414874
"g__Mailhella",0.913082893018086,0,2.85617990713293,0,0
"g__Nitratidesulfovibrio",0.182819639957104,0,5.02174974332569,0,0
"g__UBA1436",0.0703042993326874,0,1.91993988293941,0,0
"d__Bacteria_p__Firmicutes_A_c__Clostridia_258483_o___f___g__",3.91607861746551,0,3.40470284710841,0,0
"`d__Bacteria_p__Firmicutes_A_c__Clostridia_258483_o__Acetivibrionales_f__DSM-8532_g__`",33.648490853825,1.07610870739053,8.31570472624734,6.35614969237693,0
"d__Bacteria_p__Firmicutes_A_c__Clostridia_258483_o__Christensenellales_f___g__",6.03935235424926,0,0.670630626356107,0,0
"d__Bacteria_p__Firmicutes_A_c__Clostridia_258483_o__Christensenellales_f__Borkfalkiaceae_g__",0.0520859155482667,0,5.08306490295596,0,0
"g__Borkfalkia",0.65455480302056,0,3.67985747436295,0,0
"g__UBA1259",0.0554706487855948,0,5.50991139396173,0,0
"`d__Bacteria_p__Firmicutes_A_c__Clostridia_258483_o__Christensenellales_f__CAG-138_g__`",4.65276586293489,0,3.96514658859358,0,0
"g__Aphodomorpha",0.112270746169703,0,0.39883784013509,0,0
"`g__CAG-1024`",1.99458945455996,0,11.868151103576,0,0
"g__PeH17",0.528911321561617,0,1.0998441333567,0,0
"g__SFDB01",0.174979266762389,0,5.14563118894535,0,0
"`g__CAG-314`",1.56546328793146,0,5.82171987736943,0,0
"`d__Bacteria_p__Firmicutes_A_c__Clostridia_258483_o__Christensenellales_f__CAG-552_g__`",0.177780861709406,0,5.14914155008888,0,0
"`d__Bacteria_p__Firmicutes_A_c__Clostridia_258483_o__Christensenellales_f__CAG-74_g__`",3.2707948938967,0,1.17768480593198,0,0
"g__Limiplasma",1.24470513315675,0,1.69542487139832,0,0
"g__Onthenecus",4.72326554678916,0,1.35966757768764,0,0
"g__SFMI01",3.8670904646991,0,1.97601404956302,0,51.9932438397204
"`g__CAG-349`",0.363178925558583,0,9.62865786136354,0,0
"`g__CAG-475`",0.221194388085241,0,3.79907949699185,0,0
"d__Bacteria_p__Firmicutes_A_c__Clostridia_258483_o__Christensenellales_f__Christensenellaceae_g__",10.6477768987827,19.2766226722438,17.8525730805257,20.2519460244279,0
"g__Christensenella",2.1816905590621,0,0.951849716088066,0,0
"`g__GCA-900066905`",0.202377960869474,0,25.5771350783069,19.0103768709119,0
"`g__MARSEILLE-P3954`",0.00152660699215874,0,27.9678598431766,0,0
"g__Clostridium_J",0.0953659893687952,0,1.66079135923946,0,0
"g__Clostridium_P",1.90147713836316,0,0.310418710552051,0,0
"g__Clostridium_T",25.940409631464,0.789000176254601,3.64645601454215,0.133708583136826,0
"g__Dwaynesavagella",0.0621402773527232,0,3.70999465866499,0,0
"g__Inconstantimicrobium",0.0454192772204301,0,4.98915777389969,0,0
"d__Bacteria_p__Firmicutes_A_c__Clostridia_258483_o__Eubacteriales_258471_f__Anaerofustaceae_g__",0.0761978454101769,0,4.17502382257293,0,0
"g__Anaerofustis",1.37170271572735,0,4.52668757975487,0,23.1596313951481
"g__Eubacterium_O_258270",0.515230380511807,0,0.372245038255733,0,0
"g__Ructibacterium",0.169461735635872,0,5.13099485917076,0,0
"d__Bacteria_p__Firmicutes_A_c__Clostridia_258483_o__Lachnospirales_f___g__",6.99025692863601,0,5.97087421995867,0,0
"d__Bacteria_p__Firmicutes_A_c__Clostridia_258483_o__Lachnospirales_f__Anaerotignaceae_g__",4.82724902510846,0,3.57914963584853,0,0
"g__Anaerotignum_189125",4.44654073917303,0,0.856816605382673,0,81.1780994297493
"g__Anaerotignum_189163",0.0246608874071158,0,7.89738650874622,0,0
"`g__CAG-274`",7.4473110324697,0,4.49782500483622,0,0
